nm,発光,nm,励起光
375,56.43707952,547,0.784731462
375.5,56.61882496,548,0.784423633
376,56.83345173,549,0.77896037
376.5,57.07575022,550,0.778117872
377,57.32144005,551,0.777780802
377.5,57.55020486,552,0.767503452
378,57.74530971,553,0.767059427
378.5,57.89629214,554,0.766327101
379,58.04008048,555,0.76535698
379.5,58.22615539,556,0.759863189
380,58.42398221,557,0.758910675
380.5,58.61335712,558,0.757837876
381,58.80635959,559,0.749099731
381.5,58.99241433,560,0.748147967
382,59.17698829,561,0.747004953
382.5,59.41186657,562,0.742466729
383,59.64395455,563,0.741486192
383.5,59.78967984,564,0.740892727
384,59.9398086,565,0.732520597
384.5,60.13845269,566,0.731512133
385,60.33381817,567,0.730359748
385.5,60.52167458,568,0.728567527
386,60.71271966,569,0.723669778
386.5,60.90413714,570,0.722652608
387,61.09481263,571,0.721704354
387.5,61.28566614,572,0.71498917
388,61.47660064,573,0.713555407
388.5,61.66747305,574,0.712155189
389,61.85835046,575,0.707617387
389.5,62.04923803,576,0.70600895
390,62.24012118,577,0.704304367
390.5,62.43100386,578,0.703046462
391,62.62188755,579,0.701548192
391.5,62.812771,580,0.700081303
392,63.00365433,581,0.698059907
392.5,63.19453775,582,0.69650455
393,63.38542116,583,0.694847039
393.5,63.57630456,584,0.69271748
394,63.76718796,585,0.676440194
394.5,63.95807137,586,0.674802153
395,64.14895477,587,0.67330557
395.5,64.33983817,588,0.667102854
396,64.53072158,589,0.6649676
396.5,64.72160498,590,0.663598947
397,64.91248838,591,0.657850608
397.5,65.10337179,592,0.656312549
398,65.29425519,593,0.654234283
398.5,65.48513859,594,0.64891904
399,65.676022,595,0.647076255
399.5,65.8669054,596,0.645321589
400,66.0577888,597,0.643860755
400.5,66.24867221,598,0.63844092
401,66.43955561,599,0.636766903
401.5,66.63043902,600,0.635401769
402,66.82132243,601,0.629668946
402.5,67.01220576,602,0.629668946
403,67.20308925,603,0.629668946
403.5,67.3939729,604,0.626077145
404,67.58485541,605,0.626077145
404.5,67.77573904,606,0.626077145
405,67.96662661,607,0.622256482
405.5,68.15750132,608,0.622256482
406,68.3483782,609,0.622256482
406.5,68.53931811,610,0.618361178
407,68.7301376,611,0.618361178
407.5,68.92084344,612,0.618361178
408,69.11238361,613,0.618361178
408.5,69.30307139,614,0.614633829
409,69.49095004,615,0.614633829
409.5,69.68826969,616,0.614633829
410,69.88359684,617,0.610951146
410.5,70.02708744,618,0.610951146
411,70.18155745,619,0.610951146
411.5,70.42125615,620,0.607079057
412,70.64916562,621,0.607079057
412.5,70.83100141,622,0.607079057
413,71.018271,623,0.603601323
413.5,71.21238094,624,0.603601323
414,71.40312127,625,0.603601323
414.5,71.59183481,626,0.603601323
415,71.78500454,627,0.599935391
415.5,71.98102617,628,0.599935391
416,72.14929109,629,0.599935391
416.5,72.28612522,630,0.596313721
417,72.41994647,631,0.596313721
417.5,72.58186301,632,0.596313721
418,72.77588065,633,0.592846683
418.5,72.96569486,634,0.592846683
419,73.16076918,635,0.592846683
419.5,73.36540759,636,0.58930984
420,73.49538579,637,0.58930984
420.5,73.58414453,,
421,73.75731231,,
421.5,73.96254637,,
422,74.14982637,,
422.5,74.35572244,,
423,74.52491962,,
423.5,74.61217523,,
424,74.7465994,,
424.5,74.95236147,,
425,75.14641731,,
425.5,75.33672888,,
426,75.53009127,,
426.5,75.69017504,,
427,75.82347311,,
427.5,75.96116455,,
428,76.13114227,,
428.5,76.32762434,,
429,76.52065346,,
429.5,76.70876951,,
430,76.89942176,,
430.5,77.09703182,,
431,77.27876048,,
431.5,77.42405348,,
432,77.55573038,,
432.5,77.70379055,,
433,77.88865697,,
433.5,78.08565147,,
434,78.27561678,,
434.5,78.46610259,,
435,78.65675279,,
435.5,78.84633917,,
436,79.04315423,,
436.5,79.23059174,,
437,79.38047457,,
437.5,79.51570389,,
438,79.65945963,,
438.5,79.8109231,,
439,79.94266046,,
439.5,80.03750906,,
440,80.13201949,,
440.5,80.22649622,,
441,80.3053758,,
441.5,80.4467147,,
442,80.64792339,,
442.5,80.77558729,,
443,80.85378376,,
443.5,80.95035155,,
444,81.04351397,,
444.5,81.14161056,,
445,81.27708663,,
445.5,81.43199722,,
446,81.5750863,,
446.5,81.68150777,,
447,81.77141593,,
447.5,81.86845872,,
448,81.95713627,,
448.5,82.05773279,,
449,82.20211548,,
449.5,82.33257821,,
450,82.42269681,,
450.5,82.51451032,,
451,82.61160662,,
451.5,82.70590434,,
452,82.80681156,,
452.5,82.89806065,,
453,82.95254648,,
453.5,82.98887321,,
454,83.03715254,,
454.5,83.12147616,,
455,83.22367939,,
455.5,83.31926095,,
456,83.4118728,,
456.5,83.5089873,,
457,83.61050615,,
457.5,83.68718114,,
458,83.73057522,,
458.5,83.76825193,,
459,83.82994494,,
459.5,83.92603019,,
460,84.02661913,,
460.5,84.11991091,,
461,84.21273273,,
461.5,84.31552716,,
462,84.41111572,,
462.5,84.46044247,,
463,84.51787468,,
463.5,84.61972578,,
464,84.68580536,,
464.5,84.73023693,,
465,84.82011893,,
465.5,84.92394847,,
466,85.01767374,,
466.5,85.11276274,,
467,85.20765468,,
467.5,85.30165005,,
468,85.40591393,,
468.5,85.49340951,,
469,85.53661194,,
469.5,85.60592958,,
470,85.70715556,,
470.5,85.76173783,,
471,85.81335334,,
471.5,85.91079136,,
472,86.01217005,,
472.5,86.10547108,,
473,86.20171591,,
473.5,86.29404381,,
474,86.38971631,,
474.5,86.50342103,,
475,86.56367917,,
475.5,86.55242326,,
476,86.60925528,,
476.5,86.71616906,,
477,86.77217892,,
477.5,86.80047717,,
478,86.85176977,,
478.5,86.95700133,,
479,87.02230816,,
479.5,87.01048463,,
480,87.06802246,,
480.5,87.17440671,,
481,87.22738646,,
481.5,87.26437948,,
482,87.31455751,,
482.5,87.36580198,,
483,87.40792583,,
483.5,87.45159963,,
484,87.53693611,,
484.5,87.6321018,,
485,87.68349056,,
485.5,87.72298341,,
486,87.7726593,,
486.5,87.82439263,,
487,87.8649588,,
487.5,87.90749794,,
488,88.00418258,,
488.5,88.08704444,,
489,88.07947683,,
489.5,88.11788807,,
490,88.22601519,,
490.5,88.28877242,,
491,88.32426957,,
491.5,88.37272553,,
492,88.42545655,,
492.5,88.46880031,,
493,88.50672223,,
493.5,88.59298823,,
494,88.68939459,,
494.5,88.69261814,,
495,88.71194771,,
495.5,88.81682111,,
496,88.89124073,,
496.5,88.92690842,,
497,88.97308675,,
497.5,89.02591705,,
498,89.07209358,,
498.5,89.10838418,,
499,89.18148703,,
499.5,89.28546087,,
500,89.31341111,,
