0,1,2
215,49456.363615872324,47154.45056920266
216,50009.83764152298,47725.53239585224
217,51109.95355036244,48796.339863906054
218,51388.01691583232,49693.53709859275
219,51509.604885049725,49220.08305363381
220,51837.09710496347,49552.21397808101
221,52013.10216190918,49722.628639407616
222,51864.57926737645,49528.24525586903
223,51388.10674787576,49077.689247446724
224,50772.637447512476,48427.26548862916
225,49977.54930822661,47608.78895906533
226,49702.67466625646,47706.40611249574
227,49630.571280060554,47265.9825586067
228,48514.79457773839,46196.79149597271
229,47501.13666118207,45225.983060544066
230,47230.58058736868,44900.29962184178
231,46235.58330763148,43910.52201726876
232,45764.07798604855,43429.329214382065
233,45056.073329340805,42714.408622538525
234,44354.933199478866,42053.15605354741
235,43409.88969803372,41078.150903977286
236,43065.71390932422,42913.51227023877
237,42756.09654725734,40460.357907216625
238,41965.61394453752,39599.06792096227
239,41942.50110343202,39627.33301447942
240,41942.46871050182,39585.4331518292
241,40775.64308520879,38403.95225042866
242,40832.695907073045,38510.44291258999
243,40403.373091451555,38061.90543844097
244,40617.198380531234,38279.73616469797
245,40462.6178823838,38139.73543684384
246,40040.1635946474,37702.64640588515
247,39676.565808665,37353.79850588292
248,39854.78549280767,37509.923665806156
249,40294.26538016976,37971.97933867962
250,40435.78936210566,38123.591010296645
251,40667.113194292004,38358.13672223752
252,41004.81773339065,38632.076799546754
253,40835.713029572486,38497.340919202376
254,41121.14689287711,38772.82382291134
255,41800.038415201045,39483.22973951858
256,42011.92086126149,40064.15090965815
257,41998.99738838456,39704.86413140338
258,41501.825727591066,39113.567640743684
259,41818.68959651919,39467.85927439392
260,41859.17399214853,39526.411992320296
261,41950.98898796031,39592.191376486735
262,41973.15929438254,39617.69753632566
263,41873.94018091846,39567.653322237245
264,41424.30186081221,39073.71997138289
265,41004.189771984384,38669.77889319649
266,40637.535094021594,38268.54984965898
267,40408.42402816672,38089.63277213241
268,39821.1344117796,37492.39058479283
269,39031.125080309415,36675.01683059793
270,38168.606560395114,35846.02808822993
271,38401.20648165991,36067.171853037515
272,37679.58458858207,35323.53088330725
273,37292.07425164884,37343.050199231075
274,36098.38453574541,34453.63526617769
275,35362.10773545865,33040.64894284946
276,34877.142104220606,32575.61786185051
277,34230.95862681178,31895.43621941924
278,34039.68334502923,32317.937928552314
279,33413.57606489394,31118.607428449788
280,32964.692166268775,30645.95886708553
281,32405.25305173776,30107.400612229656
282,32311.586069052737,29980.47371195637
283,31772.058435986062,29451.844952021118
284,31658.754177397695,29310.152301571572
285,30541.027651574605,28257.12860857978
286,31192.01608681502,31428.595974738233
287,31120.582955598984,28793.051485049236
288,31088.812246769437,28749.915966706783
289,30564.204292755363,28253.7832696029
290,30652.894188375973,28377.07825251245
291,30474.765485009226,28144.372509799592
292,29648.340127919328,27287.924373166275
293,29566.760507152645,27265.18052526183
294,29616.55250555981,27294.686574326493
295,28852.72779054134,26499.45718656515
296,28655.10498402369,26326.457010264814
297,28020.78702063657,25711.658282403885
298,28244.902185788604,30224.719638800932
299,27796.645176978633,25438.832283088723
300,26905.812293807798,24613.24733947237
301,26000.657488777255,23656.35375303496
302,25776.478666810213,23432.741604587933
303,24743.808692447437,22437.61453265566
304,24060.623345396238,21733.41753510451
305,23455.91559353612,21113.840476668753
306,22616.478453195745,20261.256441238118
307,21564.59704142814,19231.42919633875
308,20937.029106240505,18734.56403688902
309,19681.689485544062,17311.06146903838
310,18582.765593216798,16206.86544739114
311,18529.812440446127,16169.578459826796
312,17314.517136665767,14989.985334701832
313,17136.786636694713,14803.03657058055
314,16038.868051976153,13685.687407096333
315,15303.89159378959,12979.42194337077
316,14196.229702943621,13504.954503148389
317,13025.643226155482,10681.612609049938
318,12523.506163696748,10805.616214273205
319,11722.110536658276,10365.969591731513
320,11065.777041036557,8725.079211693599
321,10616.855525887215,8280.384219544087
322,9716.30530367736,7384.614890842278
323,9611.136112496664,7277.413135671138
324,8591.367929320693,6290.707048131072
325,8196.868107515744,5827.876063839462
326,8295.03240032283,5980.367308742113
327,7169.705633299048,6351.841019178581
328,7599.851862222791,6250.0413694037925
329,7021.329432802482,4714.201378071251
330,6777.0249484255155,5249.6627337528025
331,6762.790271600205,4490.103966453924
332,5939.92557525007,3594.308759272269
333,5882.387947920387,3572.123089163953
334,5899.98502294264,3555.649755584118
335,5787.768700056589,3386.3489469509864
336,5055.476132112228,2688.4803148252827
337,5007.575803306817,2672.661156397423
338,5116.5846359657835,2768.9070366823385
339,4581.035909300138,2444.78673956374
340,4579.115654913896,2248.2752270826295
341,4642.765084571684,2323.824690096265
342,4184.405219753779,1861.6279864650526
343,4313.291531260574,2001.0712767644295
344,4200.584724632422,1836.3379554013186
345,3871.6493010548793,3698.9333184521693
346,2012.705618337061,-361.82129161286775
347,3840.6185255163236,1535.2682001343767
348,3756.756888859235,1392.8293469879818
349,3246.109931097566,963.8217120953416
350,3299.8922633643047,925.5486080682367
351,3158.9072022220653,2148.826815221591
352,3536.992773285657,1156.9025931610875
353,2946.1525643566383,609.1930964123521
354,3145.4959338755148,794.9754732965316
355,3068.028013109782,731.3125164148107
356,3061.727790256981,726.359948960049
357,2545.183722166083,181.4182619930325
358,2655.2640037742744,277.7876801226052
359,2844.538316230476,517.7472869784012
360,2456.148393531965,62.06286543408129
361,2248.7384800901036,-112.92850273910454
362,1975.1389038405478,-397.61177254604917
363,2091.5530491886743,-242.74734173398144
364,1974.4159499518753,-393.87226457201353
365,1652.1620975865824,-689.3407901009564
366,1842.0741199638953,-463.8150340978712
367,1372.0444030743122,-973.4981930365041
368,1150.0758160008713,-1213.6275598869483
369,1281.5107330849266,-1027.9476665437637
370,1092.8192002799792,-1193.791302579541
371,1341.2437956899198,-1072.2839112890542
372,1334.0721036052946,-985.6637728169108
373,1743.626580146812,-568.1831550288996
374,1027.9172319665904,-1277.3900290863558
375,799.2858654567904,-1545.949179099614
376,1012.4754823815358,-1348.1234907028388
377,1007.0984491112308,-1327.821560220235
378,661.1991686578551,-1718.4300222561424
379,1011.6804625264301,-1295.5084245109044
380,1850.9962857868495,-545.3896062051472
381,1248.5581641577742,-1091.243293514357
382,718.6730330982942,-1590.8209975464256
383,688.8707462162508,-1634.9683653910263
384,999.4771856053933,-1312.199319953899
385,1402.142615215087,-948.8164689019397
386,1516.5223443771035,4614.036972008627
387,1123.7357913737683,-682.3925402262266
388,941.6625488714812,-1375.4876736888446
389,1357.2793627439162,-986.7510164872415
390,1033.7622478155558,-1257.2297844744262
391,1224.3721423765503,-1104.1221605687488
392,1576.5542227682,-762.9943865033772
393,1655.5513551324652,-712.0744777677087
394,1638.9312566099886,-685.2850966106732
395,1764.1988868621697,-544.4122106774635
396,2218.8977863300734,-126.36579551330198
397,2333.202173760256,-3.937008696393775
398,1761.8565869920023,-591.1606333962638
399,1968.4147036753104,-391.4292845099786
400,2567.2415614199285,157.0085238880102
401,2823.8874902586444,466.1141487140571
402,2939.660750774134,2851.843914535921
403,2790.6784775774777,384.20154743214397
404,3040.0895034557966,639.2695046392255
405,2748.102775277892,355.8870978656474
406,3200.376852173813,863.3850922561214
407,3503.4424488745403,1138.4781677792062
408,3793.957498869565,1470.345409177057
409,3580.9358941547143,1241.6560343482831
410,4201.752173711504,1899.399783303133
411,4830.0933189450625,2510.5671557946803
412,4640.004417683798,3632.4049817588416
413,5107.8359758671295,3092.3248351826815
414,4743.337531589135,2414.975345660735
415,4994.685591826516,8031.036827520974
416,5856.680828903309,3510.8591905806147
417,6117.076024194559,3757.9793794621282
418,6515.123345520068,4112.804949663698
419,6746.979413563528,4461.97776061614
420,7522.279373614787,5227.916346363756
421,7242.386649941057,4932.138670201511
422,7528.040655785161,5177.080814274381
423,7839.694946759241,5483.9320385895935
424,8526.03500473048,6184.24076730812
425,8334.98042684905,5970.672081299868
426,8644.898822723697,6253.253982208788
427,8805.055652064173,6440.326867763672
428,9419.071389550263,7092.884852113271
429,9790.247279373598,7387.938235523976
430,9845.00509419355,7551.739105545691
431,10000.09419092606,8006.961899474362
432,10190.539153477239,7875.325005975391
433,10242.669350376093,7955.895831868501
434,10616.836764186879,8264.458073173682
435,10679.300929210513,8346.586084337934
436,9903.384950589398,7589.166672246259
